"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
405.155509804878,"C21H26O8","CHO",1.24,0.38,0.2941,-0.4762,21,26,8,0,0,0,"unsaturated/lignin"
405.1766485,"C18H30O10","CHO",1.67,0.56,-0.0769,-0.5556,18,30,10,0,0,0,"aliphatic"
405.187003,"C19H35O5S1P1","CHOSP",1.84,0.26,-0.1034,-1.2105,19,35,5,0,1,1,"aliphatic"
405.189411,"C26H30O2S1","CHOS",1.15,0.08,0.4167,-0.9231,26,30,2,0,1,0,"unsaturated/lignin"
405.191872368421,"C22H30O7","CHO",1.36,0.32,0.2432,-0.7273,22,30,7,0,0,0,"unsaturated/lignin"
405.212956714286,"C19H34O9","CHO",1.79,0.47,-0.1034,-0.8421,19,34,9,0,0,0,"aliphatic"
405.22244,"C30H30O1","CHO",1,0.03,0.5254,-0.9333,30,30,1,0,0,0,"aromatic"
405.228211791667,"C23H34O6","CHO",1.48,0.26,0.2,-0.9565,23,34,6,0,0,0,"unsaturated/lignin"
405.264707,"C24H38O5","CHO",1.58,0.21,0.1628,-1.1667,24,38,5,0,0,0,"aliphatic"
405.285804,"C21H42O7","CHO",2,0.33,-0.1429,-1.3333,21,42,7,0,0,0,"aliphatic"
406.114588,"C12H29O6N3S3","CHONS",2.42,0.5,-3,-0.1667,12,29,6,3,3,0,"aliphatic"
406.12723,"C16H26O9N1P1","CHONP",1.62,0.56,-0.1579,-0.3125,16,26,9,1,0,1,"aliphatic"
406.198332,"C20H29O6N3","CHON",1.45,0.3,0.1429,-0.4,20,29,6,3,0,0,"unsaturated/lignin"
406.98675625,"C20H8O8S1","CHOS",0.4,0.4,0.8,0.5,20,8,8,0,1,0,"condensed aromatic"
406.993482,"C14H16O8S3","CHOS",1.14,0.57,0,0.4286,14,16,8,0,3,0,"unsaturated/lignin"
407.023187314286,"C21H12O7S1","CHOS",0.57,0.33,0.697,0.1905,21,12,7,0,1,0,"condensed aromatic"
407.025589666667,"C17H12O12","CHO",0.71,0.71,0.5455,0.7059,17,12,12,0,0,0,"aromatic"
407.059586684211,"C22H16O6S1","CHOS",0.73,0.27,0.6111,-0.0909,22,16,6,0,1,0,"aromatic"
407.062015473684,"C18H16O11","CHO",0.89,0.61,0.44,0.3333,18,16,11,0,0,0,"unsaturated/lignin"
407.065369,"C15H20O11S1","CHOS",1.33,0.73,-0.0588,0.2667,15,20,11,0,1,0,"unsaturated/lignin"
407.090078,"C19H21O8P1","CHOP",1.11,0.42,0.3571,-0.2632,19,21,8,0,0,1,"unsaturated/lignin"
407.0959364,"C12H25O13P1","CHOP",2.08,1.08,-1.4444,0.0833,12,25,13,0,0,1,"aliphatic"
407.098395484848,"C19H20O10","CHO",1.05,0.53,0.3571,0,19,20,10,0,0,0,"unsaturated/lignin"
407.098628,"C19H20O10","CHO",1.05,0.53,0.3571,0,19,20,10,0,0,0,"unsaturated/lignin"
407.113655,"C23H20O7","CHO",0.87,0.3,0.5385,-0.2609,23,20,7,0,0,0,"aromatic"
407.119461,"C16H24O12","CHO",1.5,0.75,-0.1,0,16,24,12,0,0,0,"aliphatic"
407.1347496,"C20H24O9","CHO",1.2,0.45,0.2903,-0.3,20,24,9,0,0,0,"unsaturated/lignin"
407.140614,"C13H28O14","CHO",2.15,1.08,-1.1667,0,13,28,14,0,0,0,"aliphatic"
407.155935,"C17H28O11","CHO",1.65,0.65,-0.1304,-0.3529,17,28,11,0,0,0,"aliphatic"
407.1711835,"C21H28O8","CHO",1.33,0.38,0.2353,-0.5714,21,28,8,0,0,0,"unsaturated/lignin"
407.192301,"C18H32O10","CHO",1.78,0.56,-0.1538,-0.6667,18,32,10,0,0,0,"aliphatic"
407.207549882353,"C22H32O7","CHO",1.45,0.32,0.1892,-0.8182,22,32,7,0,0,0,"unsaturated/lignin"
407.228645,"C19H36O9","CHO",1.89,0.47,-0.1724,-0.9474,19,36,9,0,0,0,"aliphatic"
407.2438232,"C23H36O6","CHO",1.57,0.26,0.15,-1.0435,23,36,6,0,0,0,"aliphatic"
407.26501725,"C20H40O8","CHO",2,0.4,-0.1875,-1.2,20,40,8,0,0,0,"aliphatic"
407.301469,"C21H44O7","CHO",2.1,0.33,-0.2,-1.4286,21,44,7,0,0,0,"aliphatic"
408.129898,"C19H23O9N1","CHON",1.21,0.47,0.2593,-0.1053,19,23,9,1,0,0,"unsaturated/lignin"
408.141298,"C18H23O8N3","CHON",1.28,0.44,0.1818,0.1111,18,23,8,3,0,0,"unsaturated/lignin"
408.177602833333,"C19H27O7N3","CHON",1.42,0.37,0.12,-0.2105,19,27,7,3,0,0,"unsaturated/lignin"
408.938567,"C10H7O12N2S1P1","CHONSP",0.7,1.2,-Inf,2.5,10,7,12,2,1,1,"unsaturated/lignin"
408.948366272727,"C12H14O4N2S5","CHONS",1.17,0.33,-0.6667,0.8333,12,14,4,2,5,0,"unsaturated/lignin"
408.995215428571,"C10H20O9S2P2","CHOSP",2,0.9,-4.3333,0.2,10,20,9,0,2,2,"aliphatic"
408.995537,"C12H26O1S7","CHOS",2.17,0.08,-1.6667,-0.8333,12,26,1,0,7,0,"aliphatic"
409.002473896552,"C20H10O8S1","CHOS",0.5,0.4,0.7333,0.4,20,10,8,0,1,0,"condensed aromatic"
409.038849210526,"C21H14O7S1","CHOS",0.67,0.33,0.6364,0.0952,21,14,7,0,1,0,"aromatic"
409.0411765,"C17H14O12","CHO",0.82,0.71,0.4545,0.5882,17,14,12,0,0,0,"unsaturated/lignin"
409.0445425,"C14H18O12S1","CHOS",1.29,0.86,-0.1429,0.5714,14,18,12,0,1,0,"unsaturated/lignin"
409.056476,"C21H14O9","CHO",0.67,0.43,0.6364,0.1905,21,14,9,0,0,0,"aromatic"
409.059958,"C18H18O9S1","CHOS",1,0.5,0.36,0.1111,18,18,9,0,1,0,"unsaturated/lignin"
409.075045,"C22H18O6S1","CHOS",0.82,0.27,0.5556,-0.1818,22,18,6,0,1,0,"aromatic"
409.0753645,"C22H18O6S1","CHOS",0.82,0.27,0.5556,-0.1818,22,18,6,0,1,0,"aromatic"
409.077630214286,"C18H18O11","CHO",1,0.61,0.36,0.2222,18,18,11,0,0,0,"unsaturated/lignin"
409.07802,"C21H19O3N2S1P1","CHONSP",0.9,0.14,0.5484,-0.2381,21,19,3,2,1,1,"aromatic"
409.092946,"C22H18O8","CHO",0.82,0.36,0.5556,-0.0909,22,18,8,0,0,0,"aromatic"
409.096332333333,"C19H22O8S1","CHOS",1.16,0.42,0.2857,-0.2105,19,22,8,0,1,0,"unsaturated/lignin"
409.111786,"C12H27O13P1","CHOP",2.25,1.08,-1.6667,-0.0833,12,27,13,0,0,1,"aliphatic"
409.114025047619,"C19H22O10","CHO",1.16,0.53,0.2857,-0.1053,19,22,10,0,0,0,"unsaturated/lignin"
409.135037,"C16H26O12","CHO",1.62,0.75,-0.2,-0.125,16,26,12,0,0,0,"aliphatic"
409.150415880952,"C20H26O9","CHO",1.3,0.45,0.2258,-0.4,20,26,9,0,0,0,"unsaturated/lignin"
409.1665224,"C25H30O1S2","CHOS",1.2,0.04,0.3778,-0.96,25,30,1,0,2,0,"unsaturated/lignin"
409.171629,"C17H30O11","CHO",1.76,0.65,-0.2174,-0.4706,17,30,11,0,0,0,"aliphatic"
409.186768783784,"C21H30O8","CHO",1.43,0.38,0.1765,-0.6667,21,30,8,0,0,0,"unsaturated/lignin"
409.2079665,"C18H34O10","CHO",1.89,0.56,-0.2308,-0.7778,18,34,10,0,0,0,"aliphatic"
409.219116,"C17H34O9N2","CHON",2,0.53,-0.4286,-0.5882,17,34,9,2,0,0,"aliphatic"
409.223195142857,"C22H34O7","CHO",1.55,0.32,0.1351,-0.9091,22,34,7,0,0,0,"aliphatic"
409.259482,"C23H38O6","CHO",1.65,0.26,0.1,-1.1304,23,38,6,0,0,0,"aliphatic"
409.311156793103,"C28H42O2","CHO",1.5,0.07,0.2593,-1.3571,28,42,2,0,0,0,"aliphatic"
409.3686374,"C26H50O3","CHO",1.92,0.12,0.0204,-1.6923,26,50,3,0,0,0,"aliphatic"
409.4051895,"C27H54O2","CHO",2,0.07,0,-1.8519,27,54,2,0,0,0,"aliphatic"
410.130418,"C15H25O12N1","CHON",1.67,0.8,-0.375,0.1333,15,25,12,1,0,0,"aliphatic"
410.172256,"C22H25O5N3","CHON",1.14,0.23,0.3939,-0.2727,22,25,5,3,0,0,"unsaturated/lignin"
410.208634,"C23H29O4N3","CHON",1.26,0.17,0.3333,-0.5217,23,29,4,3,0,0,"unsaturated/lignin"
410.909747,"C18H4O6S3","CHOS",0.22,0.33,0.9167,0.7778,18,4,6,0,3,0,"condensed aromatic"
410.9165,"C12H12O6S5","CHOS",1,0.5,-0.25,0.8333,12,12,6,0,5,0,"unsaturated/lignin"
410.94540025,"C11H12O7N2S4","CHONS",1.09,0.64,-1.6667,1.4545,11,12,7,2,4,0,"unsaturated/lignin"
410.956494709677,"C17H4O9N2S1","CHONS",0.24,0.53,1,1.2941,17,4,9,2,1,0,"condensed aromatic"
410.96639,"C15H8O12S1","CHOS",0.53,0.8,0.625,1.2,15,8,12,0,1,0,"aromatic"
410.974396,"C9H18O10S2P2","CHOSP",2,1.11,-Inf,0.6667,9,18,10,0,2,2,"aliphatic"
411.018111142857,"C20H12O8S1","CHOS",0.6,0.4,0.6667,0.3,20,12,8,0,1,0,"condensed aromatic"
411.020483,"C16H12O13","CHO",0.75,0.81,0.4737,0.875,16,12,13,0,0,0,"unsaturated/lignin"
411.023883,"C13H16O13S1","CHOS",1.23,1,-0.2727,0.9231,13,16,13,0,1,0,"unsaturated/lignin"
411.035739,"C20H12O10","CHO",0.6,0.5,0.6667,0.4,20,12,10,0,0,0,"condensed aromatic"
411.056447,"C30H8O1N2","CHON",0.27,0.03,0.9273,0,30,8,1,2,0,0,"condensed aromatic"
411.056880555556,"C17H16O12","CHO",0.94,0.71,0.3636,0.4706,17,16,12,0,0,0,"unsaturated/lignin"
411.072053,"C21H16O9","CHO",0.76,0.43,0.5758,0.0952,21,16,9,0,0,0,"aromatic"
411.090918,"C15H28O3N2S4","CHONS",1.87,0.2,-0.6,-0.5333,15,28,3,2,4,0,"aliphatic"
411.093323941176,"C18H20O11","CHO",1.11,0.61,0.28,0.1111,18,20,11,0,0,0,"unsaturated/lignin"
411.1085385,"C22H20O8","CHO",0.91,0.36,0.5,-0.1818,22,20,8,0,0,0,"unsaturated/lignin"
411.114419,"C15H24O13","CHO",1.6,0.87,-0.2941,0.1333,15,24,13,0,0,0,"aliphatic"
411.12137,"C19H25O8P1","CHOP",1.32,0.42,0.2143,-0.4737,19,25,8,0,0,1,"unsaturated/lignin"
411.129703365854,"C19H24O10","CHO",1.26,0.53,0.2143,-0.2105,19,24,10,0,0,0,"unsaturated/lignin"
411.13294575,"C16H28O10S1","CHOS",1.75,0.62,-0.3,-0.375,16,28,10,0,1,0,"aliphatic"
411.145678414634,"C24H28O2S2","CHOS",1.17,0.08,0.381,-0.8333,24,28,2,0,2,0,"unsaturated/lignin"
411.150858,"C16H28O12","CHO",1.75,0.75,-0.3,-0.25,16,28,12,0,0,0,"aliphatic"
411.166057236842,"C20H28O9","CHO",1.4,0.45,0.1613,-0.5,20,28,9,0,0,0,"unsaturated/lignin"
411.198516,"C16H32O10N2","CHON",2,0.62,-0.5556,-0.375,16,32,10,2,0,0,"aliphatic"
411.20243875,"C21H32O8","CHO",1.52,0.38,0.1176,-0.7619,21,32,8,0,0,0,"aliphatic"
411.23882975,"C22H36O7","CHO",1.64,0.32,0.0811,-1,22,36,7,0,0,0,"aliphatic"
