Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Y1_08_H2O,Y1_09_H2O,Y1_10_H2O,Y1_13_H2O,Y1_14_H2O,Y1_15_H2O,Y1_18_H2O,Y1_19_H2O,Y1_20_H2O,Y1_23_H2O,Y1_24_H2O,Y1_25_H2O,Y1_28_H2O,Y1_29_H2O,Y1_30_H2O,Y1_33_H2O,Y1_34_H2O,Y1_35_H2O,Y1_37_H2O,Y1_39_H2O,Y1_40_H2O,Y1_41_H2O,Y1_43_H2O,Y1_44_H2O,Y1_45_H2O,Y1_47_H2O,Y1_48_H2O,Y1_49_H2O,Y1_52_H2O,Y1_53_H2O,Y1_55_H2O,Y1_58_H2O,Y1_61_H2O,Y1_65_H2O,Y1_70_H2O,Y1_71_H2O,Y1_72_H2O,Y1_73_H2O,Y1_77_H2O,Y1_78_H2O,Y1_03_H2O,Y1_04_H2O
106.273333,0,0,0,0,0,0,0,0,,None,107.28060946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041520.7,0,0,0,0,0,0,0
106.273826,0,0,0,0,0,0,0,0,,None,107.28110246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044463.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.325291,0,0,0,0,0,0,0,0,,None,107.33256746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071752.3,0,0,0,0,0
106.328984,0,0,0,0,0,0,0,0,,None,107.33626046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217282.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.338183,0,0,0,0,0,0,0,0,,None,107.34545946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052835.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.339127,0,0,0,0,0,0,0,0,,None,107.34640346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049318.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.367024,0,0,0,0,0,0,0,0,,None,107.37430046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.372785,0,0,0,0,0,0,0,0,,None,107.38006146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034245.3,0,0,0,0,0,0,0,0
106.400657,0,0,0,0,0,0,0,0,,None,107.40793346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087165.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.426986,0,0,0,0,0,0,0,0,,None,107.43426246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061638.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.430044,0,0,0,0,0,0,0,0,,None,107.43732046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.454,0,0,0,0,0,0,0,0,,None,107.46127646688,0,0,0,0,0,1090004.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
