Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Bog_01_CHCl3,Bog_02_CHCl3,Bog_03_CHCl3,Bog_04_CHCl3,Bog_05_CHCl3,Bog_06_CHCl3,Bog_07_CHCl3,Bog_08_CHCl3,Bog_09_CHCl3,Bog_10_CHCl3,Bog_11_CHCl3,Bog_12_CHCl3,Bog_13_CHCl3,Bog_14_CHCl3,Bog_15_CHCl3,Bog_16_CHCl3,Bog_18_CHCl3,Bog_19_CHCl3,Bog_21_CHCl3,FB_01_CHCl3,FB_02_CHCl3,FB_03_CHCl3,FB_04_CHCl3,LC_01_CHCl3,LC_02_CHCl3
108.327635,0,0,0,0,0,0,0,0,,None,109.33491146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029172.5,0,0,0,0,0,0,0,0,0,0,0
108.331173,0,0,0,0,0,0,0,0,,None,109.33844946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039010.4,0,0,0,0,0,0,0,0
108.335591,0,0,0,0,0,0,0,0,,None,109.34286746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107328,0,0
108.339131,0,0,0,0,0,0,0,0,,None,109.34640746688,0,0,0,0,0,0,0,0,0,0,1078385.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.415235,0,0,0,0,0,0,0,0,,None,109.42251146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047148.4,0,0,0,0,0,0,0,0,0
108.417224,0,0,0,0,0,0,0,0,,None,109.42450046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167916.9,0,0,0,0,0,0
108.435075,0,0,0,0,0,0,0,0,,None,109.44235146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187818.5,0,0
108.440467,0,0,0,0,0,0,0,0,,None,109.44774346688,0,0,0,0,0,0,0,0,0,0,1059230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.446825,0,0,0,0,0,0,0,0,,None,109.45410146688,0,0,0,0,0,0,0,0,0,0,0,0,0,1028065.9,0,0,0,0,0,0,0,0,0,0,0,0,0
108.482508,0,0,0,0,0,0,0,0,,None,109.48978446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042257.8,0,0,0,0,0,0,0,0,0,0,0
108.483329,0,0,0,0,0,0,0,0,,None,109.49060546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066087.3
108.500765,0,0,0,0,0,0,0,0,,None,109.50804146688,0,0,1048342.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.503786,0,0,0,0,0,0,0,0,,None,109.51106246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067664.4,0,0,0,0,0,0,0
108.506156,0,0,0,0,0,0,0,0,,None,109.51343246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079729.5,0,0,0,0,0,0,0,0,0,0,0,0
108.517206,0,0,0,0,0,0,0,0,,None,109.52448246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057381.9,0,0
108.600497,0,0,0,0,0,0,0,0,,None,109.60777346688,0,0,0,0,0,0,0,0,0,0,0,1219116.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.612119,0,0,0,0,0,0,0,0,,None,109.61939546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060380.5,0,0,0,0,0
108.623865,0,0,0,0,0,0,0,0,,None,109.63114146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177957.3,0,0,0,0,0,0
108.638508,0,0,0,0,0,0,0,0,,None,109.64578446688,0,0,0,0,0,0,0,0,0,0,1040864.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.654518,0,0,0,0,0,0,0,0,,None,109.66179446688,0,0,1049514.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.699054,0,0,0,0,0,0,0,0,,None,109.70633046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081785.8,0,0,0,0,0
108.736574,0,0,0,0,0,0,0,0,,None,109.74385046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045732.9,0,0,0,0,0,0
108.761149,0,0,0,0,0,0,0,0,,None,109.76842546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054245.1,0,0,0,0
108.790181,0,0,0,0,0,0,0,0,,None,109.79745746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080826.6,0,0,0,0,0
108.811404,0,0,0,0,0,0,0,0,,None,109.81868046688,0,0,0,1081980.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.853525,0,0,0,0,0,0,0,0,,None,109.86080146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036367.9,0,0,0,0,0,0,0,0,0,0
108.871729,0,0,0,0,0,0,0,0,,None,109.87900546688,0,0,0,0,0,0,0,0,0,0,0,0,0,1039693.8,0,0,0,0,0,0,0,0,0,0,0,0,0
108.908861,0,0,0,0,0,0,0,0,,None,109.91613746688,0,0,0,0,0,0,0,0,0,0,1066337.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.921727,0,0,0,0,0,0,0,0,,None,109.92900346688,0,0,0,0,0,0,0,0,0,0,0,1115539.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.940444,0,0,0,0,0,0,0,0,,None,109.94772046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115037.3
108.946275,0,0,0,0,0,0,0,0,,None,109.95355146688,0,0,0,0,0,0,0,1060488.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.950448,0,0,0,0,0,0,0,0,,None,109.95772446688,0,0,0,0,0,0,0,0,1100831.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.985052,0,0,0,0,0,0,0,0,,None,109.99232846688,0,0,0,0,0,0,1076710.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.99017,0,0,0,0,0,0,0,0,,None,109.99744646688,0,0,0,0,0,1050096.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.047101,0,0,0,0,0,0,0,0,,None,110.05437746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068340.8,0,0,0,0
109.07685,0,0,0,0,0,0,0,0,,None,110.08412646688,0,0,0,0,0,0,0,0,0,0,0,0,0,1051120.8,0,0,0,0,0,0,0,0,0,0,0,0,0
109.098157,0,0,0,0,0,0,0,0,,None,110.10543346688,0,0,1247513.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.140307,0,0,0,0,0,0,0,0,,None,110.14758346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026237.8,0,0,0,0,0,0,0,0,0,0,0
109.154609,0,0,0,0,0,0,0,0,,None,110.16188546688,0,0,0,0,0,0,0,0,0,0,0,0,0,1068118.6,0,0,0,0,0,0,0,0,0,0,0,0,0
109.162365,0,0,0,0,0,0,0,0,,None,110.16964146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032247.9,0,0,0,0,0,0,0,0
109.16547,0,0,0,0,0,0,0,0,,None,110.17274646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029079.3,0,0,0,0,0,0,0,0,0
109.171994,0,0,0,0,0,0,0,0,,None,110.17927046688,0,0,0,0,0,0,0,0,0,0,0,1028885.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.175296,0,0,0,0,0,0,0,0,,None,110.18257246688,0,0,0,0,0,0,0,0,0,0,0,0,1050819.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
